scdb_id,street_en,street_mt,street_common,locality,speed_limit_kph,installation_year
26415,Notary Zarb Road,Triq in-Nutar Zarb,,Attard,50,2006
178544,Tumas Chetcuti Road,Triq Tumas Chetcuti,Central Link,Attard,60,2023
26423,Dun Karm Road,Triq Dun Karm,Birkirkara Bypass,Birkirkara,60,2009
26424,Dun Karm Road,Triq Dun Karm,Birkirkara Bypass,Birkirkara,60,2009
26426,Burmarrad Road,Triq Burmarrad,,St Paul's Bay,60,2006
26422,Ħal Far Road,Triq Ħal Far,,Gudja,60,2008
26413,Royal Malta Artillery Avenue,Vjal ir-Royal Malta Artillery,Mriehel Bypass,Qormi,80,2005
26414,Royal Malta Artillery Avenue,Vjal ir-Royal Malta Artillery,Mriehel Bypass,Qormi,80,2005
158096,Coast Road,Tul il-Kosta,,Baħar iċ-Ċagħaq,60,2021
21270,Coast Road,Triq Sant' Andrija,,Madliena,70,2021
166509,Coast Road,Tul il-Kosta,,Naxxar,70,2021
167278,Coast Road,Tul il-Kosta,,Naxxar,60,2021
158095,Coast Road,Tul il-Kosta,,Naxxar,70,2021
26410,Mdina Road,Triq l-Mdina,,Qormi,60,2006
26411,Mdina Road,Triq l-Mdina,,Qormi,60,2006
20791,Mdina Road,Triq l-Mdina,,Żebbuġ,60,2006
20792,Mdina Road,Triq l-Mdina,,Żebbuġ,60,2006
21271,Regional Road,Triq Mikiel Anton Vassalli,M.A. Vassalli,San Ġwann,60,2004
21272,Regional Road,Triq Mikiel Anton Vassalli,M.A. Vassalli,San Ġwann,60,2004
44452,St. Paul's Bay Bypass,Dawret San Pawl,,St Paul's Bay,80,2014
118292,St. Paul's Bay Bypass,Dawret San Pawl,,St Paul's Bay,80,2014
108697,Mons. M. Azzopardi Street,Triq Mons. Mikel Azzopardi,M. Azzopardi,Siġġiewi,60,2017
26427,Tal-Barrani Road,Triq tal-Barrani,,Żejtun,60,2009
26428,Tal-Barrani Road,Triq tal-Barrani,,Żejtun,60,2009
